Document,gemini-2.5-pro_trans_input,gemini-2.5-pro_trans_output,gemini-2.5-pro_summ_input,gemini-2.5-pro_summ_output,gemini-2.5-flash_trans_input,gemini-2.5-flash_trans_output,gemini-2.5-flash_summ_input,gemini-2.5-flash_summ_output,gemini-3-flash-preview_trans_input,gemini-3-flash-preview_trans_output,gemini-3-flash-preview_summ_input,gemini-3-flash-preview_summ_output
39_BAL_MR,11037,6184,903,796,7358,5746,904,1042,2834,5560,904,560
44_Dehradun_Khatauni_Latest,11037,10981,2555,1335,25753,16292,5108,3345,4251,8856,2556,1132
47_Tonk_Jamabandi_Khasra No.12,3679,4338,774,975,3679,4461,774,1541,1427,4348,775,767
55_Bhopal_Campus_Lease Deed_MP059712021A1084857,103012,50356,8632,961,125086,67607,8639,1887,39676,44752,8657,830
55_Bhopal_Campus_OTH_Nazul Patta-Agreement,14716,9175,2921,985,14716,10964,2905,1274,5668,7666,2929,860
C16_BLR_APU_818-2012 Judgment,0,0,3085,1275,0,0,3085,1501,0,0,3085,1047
C16_BLR_APU_OS 546-1996 Judgement,0,0,23282,1442,0,0,23282,3358,0,0,23282,1014
C16_BLR_APU_OS 818-2012 Deposition,3679,1636,908,820,3679,2720,906,1138,1417,1432,908,814
OS 975 Notice from Tehsil-27-3-25,3679,1373,446,507,3679,1810,445,605,1417,1102,446,434
OS 975_OTH_Letter to Tehsil-17-04-2025,3679,2537,652,713,3679,2586,652,629,1417,1383,652,551
OS 975_OTH_Letter to Tehsil-28-3-25,3679,1545,482,619,3679,1596,482,711,1417,1524,482,473
OS 975_Plaint copy-Preetam Prasad Rawat,22074,7054,1950,910,25753,13199,1948,1177,12753,8766,2149,772
OS_975_OTH_Reply for SDM,7358,2176,871,651,7358,2240,877,711,2834,2171,877,582
